looptime,ax,ay,az,gx,gy,gz,baro_temp,baro_pressure
450142,-0.16,-0.97,0.16,-0.62,-1.02,0.55,30.23,96766.71
450176,-0.16,-0.96,0.15,-0.4,-0.96,-0.09,30.23,96766.71
450209,-0.16,-0.97,0.16,0.13,-0.09,0.05,30.23,96768.52
450245,-0.16,-0.97,0.15,0.56,0.2,-0.52,30.23,96766.02
450280,-0.15,-0.97,0.16,0.36,0.67,-0.39,30.23,96766.02
450315,-0.15,-0.97,0.16,0.83,1.07,-0.48,30.23,96766.82
450374,-0.15,-0.97,0.16,0.54,1.05,0.08,30.23,96766.71
450408,-0.15,-0.97,0.17,0.68,0.31,0.26,30.23,96766.71
450448,-0.16,-0.97,0.17,0.36,-0.2,0.49,30.23,96765.05
450483,-0.16,-0.97,0.16,-0.14,-0.2,0.4,30.23,96765.05
450518,-0.16,-0.97,0.16,-0.34,-0.84,0.4,30.23,96765.86
450551,-0.16,-0.97,0.15,-0.28,-1.39,0.28,30.23,96765.86
450586,-0.16,-0.96,0.15,-0.55,-0.64,-0.01,30.23,96764.56
450621,-0.16,-0.96,0.16,-0.1,-0.27,-0.7,30.23,96764.56
450656,-0.16,-0.97,0.15,-0.02,-0.3,-0.55,30.23,96767.38
450690,-0.16,-0.97,0.15,0.3,-0.04,-0.42,30.23,96767.38
450724,-0.15,-0.97,0.16,0.8,0.35,-0.29,30.24,96768.91
450762,-0.15,-0.96,0.16,1.11,0.73,0.05,30.24,96768.91
450797,-0.16,-0.96,0.16,0.79,1.19,0.22,30.23,96769.01
450833,-0.16,-0.96,0.16,0.64,-0.01,-0.01,30.23,96766.55
450867,-0.16,-0.97,0.17,0.25,0.26,0.08,30.23,96766.55
450900,-0.16,-0.97,0.17,-0.37,0.09,-0.1,30.23,96765.72
450934,-0.16,-0.97,0.16,-0.48,-0.92,0.08,30.23,96765.72
450970,-0.16,-0.97,0.16,-0.88,-1.04,0,30.23,96766.02
451005,-0.16,-0.97,0.15,-0.83,-0.81,0.11,30.23,96766.02
451038,-0.15,-0.97,0.15,-0.45,-0.69,-0.15,30.23,96765.32
451079,-0.16,-0.97,0.15,0.21,-0.09,-0.19,30.23,96765.32
451115,-0.16,-0.97,0.15,1.2,0.6,0.16,30.23,96766.63
451148,-0.16,-0.97,0.15,0.93,0.32,-0.19,30.23,96766.63
451181,-0.16,-0.97,0.15,1.09,1.48,-0.15,30.23,96768.61
451218,-0.16,-0.97,0.17,1.06,0.41,-0.07,30.23,96768.61
451254,-0.16,-0.97,0.17,0.41,0.83,-0.24,30.23,96766.13
451287,-0.16,-0.97,0.16,0.28,0.78,-0.16,30.23,96766.13
451320,-0.15,-0.97,0.16,-0.07,-0.38,-0.12,30.23,96767.65
451361,-0.15,-0.96,0.16,-0.78,-0.88,0.19,30.23,96766.99
451395,-0.16,-0.96,0.16,-1.06,-0.78,0.31,30.23,96766.99
451429,-0.15,-0.96,0.15,-0.49,-1.24,0.16,30.22,96767.75
451464,-0.16,-0.97,0.16,-0.33,-0.78,0.28,30.22,96767.75
451500,-0.16,-0.96,0.15,0.38,0.34,0.1,30.23,96768.61
451533,-0.16,-0.97,0.15,0.65,0.11,-0.04,30.23,96768.61
451567,-0.16,-0.97,0.16,1.11,1.39,-0.29,30.23,96765.46
451602,-0.16,-0.96,0.16,1.38,1.3,-0.44,30.23,96765.46
451637,-0.16,-0.97,0.16,1.08,0.37,-0.01,30.22,96765.39
451676,-0.16,-0.96,0.16,0.67,0.95,-0.12,30.22,96765.39
451712,-0.15,-0.96,0.17,0.12,-0.3,0.02,30.22,96766.75
451763,-0.15,-0.97,0.15,-0.74,-0.27,0.23,30.22,96766.75
451799,-0.16,-0.97,0.16,-0.39,-1.43,0.17,30.22,96766.75
451833,-0.16,-0.97,0.15,-0.43,-0.92,0.23,30.22,96764.57
451868,-0.16,-0.97,0.16,-0.08,-0.41,0.02,30.22,96764.57
451902,-0.16,-0.97,0.15,0.19,-0.04,-0.12,30.22,96765.89
451938,-0.16,-0.97,0.15,0.91,0.9,0.1,30.22,96765.89
451978,-0.16,-0.97,0.16,0.96,0.49,-0.19,30.22,96766.89
452013,-0.15,-0.97,0.16,1,1.44,-0.27,30.22,96768.05
452046,-0.15,-0.97,0.16,0.97,0.61,-0.44,30.22,96768.05
452080,-0.16,-0.97,0.17,0.21,0.34,-0.26,30.22,96766.92
452116,-0.15,-0.97,0.17,-0.16,0.06,-0.33,30.22,96766.92
452151,-0.15,-0.97,0.17,-0.39,-0.3,-0.04,30.22,96764.74
452184,-0.16,-0.97,0.16,-0.71,-0.58,0.05,30.22,96764.74
452218,-0.15,-0.97,0.16,-0.59,-1.22,-0.12,30.22,96766.22
452254,-0.15,-0.96,0.15,-0.23,-0.76,0.29,30.22,96766.22
452303,-0.16,-0.97,0.15,0.41,-0.09,0.26,30.22,96766.72
452340,-0.16,-0.97,0.15,0.83,0.32,0.11,30.22,96765.73
452378,-0.16,-0.97,0.15,0.94,0.55,-0.07,30.22,96765.73
452416,-0.16,-0.96,0.16,1.02,0.57,-0.41,30.22,96767.22
452454,-0.16,-0.97,0.16,0.62,0.5,-0.58,30.22,96767.22
452491,-0.15,-0.96,0.16,0.35,0.34,-0.94,30.22,96764.89
452528,-0.15,-0.97,0.16,-0.43,-0.11,-0.41,30.22,96764.89
452564,-0.16,-0.97,0.16,-0.33,-0.52,0.2,30.22,96768.39
452601,-0.15,-0.97,0.15,-0.16,-0.43,0.07,30.22,96767.22
452643,-0.16,-0.97,0.16,-0.31,-0.64,0.19,30.22,96767.22
452680,-0.15,-0.97,0.15,0.41,-0.29,0.58,30.22,96765.72
452716,-0.16,-0.97,0.16,0.57,0.2,0.49,30.22,96765.72
452753,-0.16,-0.97,0.15,0.68,0.35,-0.12,30.22,96767.55
452791,-0.16,-0.97,0.16,0.53,0.67,-0.24,30.22,96767.55
452828,-0.16,-0.97,0.16,0.85,0.76,-0.65,30.22,96767.06
452862,-0.15,-0.97,0.16,0.35,0.5,-0.5,30.22,96767.78
452899,-0.15,-0.97,0.16,0.42,0.31,-0.59,30.23,96767.78
452943,-0.15,-0.97,0.17,0.07,-0.09,-0.07,30.22,96766.09
452978,-0.15,-0.96,0.16,-0.07,-0.18,0.1,30.22,96766.09
453014,-0.15,-0.96,0.16,-0.11,-0.38,0.52,30.22,96765.6
453053,-0.16,-0.97,0.16,-0.43,-0.7,0.6,30.22,96765.6
453091,-0.16,-0.97,0.15,-0.13,-0.85,0.22,30.23,96767.95
453126,-0.16,-0.97,0.15,0.06,-0.3,-0.15,30.23,96768.52
453161,-0.16,-0.97,0.16,-0.11,-0.24,-0.07,30.23,96768.52
453200,-0.16,-0.97,0.16,0.36,0.11,-0.44,30.23,96768.17
